mstar_id,fund_rank,risk,minimum_investment,minimum_sip_investment,minimum_withdrawal,minimum_balance,mapped_benchmark,sip_dates,type_of_fund,bse_neft_scheme_code,bse_rgts_scheme_code,bse_amc_code,nse_neft_scheme_code,nse_rgts_scheme_code,nse_amc_code 
F0000045L7,1,Average,5000,500,0,0,FOUSA0907S,"[1,7,15,25]",Liquid,AXFCFGP-GR,AXFCFGP-GR- L0,AXISMUTUALFUND_MF,AXFCFGP-GR,AXFCFGP-GR- L0,AXISMUTUALFUND_MF
F00000GUHU,2,Average,5000,500,1000,0,FOUSA0907S,"[1,7,15,25]",Liquid,RGF-LFSG-GR,RGF-LFSG-GR-L0,RELIGAREMUTUALFUND_MF,RGF-LFSG-GR,RGF-LFSG-GR-L0,RELIGAREMUTUALFUND_MF
F0GBR06S6F,3,Average,5000,500,0,0,FOUSA0907S,"[1,7,15,25]",Liquid,BSL153G-GR,BSL153G-GR-L0,BirlaSunLifeMutualFund_MF,BSL153G-GR,BSL153G-GR-L0,BirlaSunLifeMutualFund_MF
F0GBR06RKL,4,Average,500,500,1000,0,FOUSA0907S,"[1,7,15,25]",Liquid,UTICPIGG-GR,UTICPIGG-GR-L0,UTIMUTUALFUND_MF,UTICPIGG-GR,UTICPIGG-GR-L0,UTIMUTUALFUND_MF
F0GBR06R4B,5,Average,100,500,0,0,FOUSA0907S,"[1,7,15,25]",Liquid,RELLFTPI-GR,RELLFTPI-GR-L0,RelianceMutualFund_MF,RELLFTPI-GR,RELLFTPI-GR-L0,RelianceMutualFund_MF
F0GBR06RUU,6,Average,5000,500,500,5000,FOUSA0907S,"[1,7,15,25]",Liquid,LFRG-GR,LFRG-GR-L0,JM FINANCIAL MUTUAL FUND_MF,LFRG-GR,LFRG-GR-L0,JM FINANCIAL MUTUAL FUND_MF
F00000J4BP,7,Average,5000,500,1000,0,FOUSA0907S,"[1,7,15,25]",Liquid,IDBI-LFGP-GR,IDBI-LFGP-GR-L0,IDBIMUTUALFUND_MF,IDBI-LFGP-GR,IDBI-LFGP-GR-L0,IDBIMUTUALFUND_MF
F0GBR06RWA,8,Average,5000,500,1000,5000,FOUSA0907S,"[1,7,15,25]",Liquid,K252-GR,K252-GR-L0,KOTAKMAHINDRAMF,K252-GR,K252-GR-L0,KOTAKMAHINDRAMF
F000002QZ4,9,Average,5000,500,0,0,FOUSA0907S,"[1,7,15,25]",Liquid,TMFLFSG-GR,TMFLFSG-GR-L0,TAURUSMUTUALFUND_MF,TMFLFSG-GR,TMFLFSG-GR-L0,TAURUSMUTUALFUND_MF
F0GBR06RFB,10,Average,5000,500,0,0,FOUSA0907S,"[1,7,15,25]",Liquid,TLSG01-GR,TLSG01-GR-L0,TATAMutualFund_MF,TLSG01-GR,TLSG01-GR-L0,TATAMutualFund_MF
